lang,family,wer,cer,n
amu,Amuzgo,57.0,34.65,88
chq,Chinantec,72.73,35.96,119
mig,Mixtec,83.88,40.95,113
ncf,Nahuatl,61.47,28.85,88
nhg,Nahuatl,79.6,32.78,106
nhn,Nahuatl,74.87,34.59,94
nhq,Nahuatl,67.32,35.75,92
pmq,Mixe,70.68,40.24,81
spa,Spanish,14.25,5.71,3558
tcf,Totonac,66.09,38.46,103
tlp,Totonac,50.78,14.79,91
trq,Triqui,47.07,19.18,96
vmc,Mixtec,64.22,22.05,75
vmj,Mixtec,57.27,28.44,93
vmp,Mixtec,63.42,31.52,77
vmz,Mixtec,68.19,25.35,80
xti,Mixtec,88.11,41.01,164
zoh,Zoque,50.92,21.26,78
zor,Zoque,35.84,10.83,107
zpv,Zapotec,72.91,27.76,109
ztn,Zapotec,65.67,26.86,121
ztp,Zapotec,58.69,25.5,101
zts,Zapotec,106.86,44.29,141
ztu,Zapotec,64.95,26.36,150
